"CRASH DATE","CRASH TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","COLLISION_ID","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5"
2024-02-09,10:00:00,"MANHATTAN",10023,40.77353,-73.98534,"(40.77353, -73.98534)","WEST 64 STREET","AMSTERDAM AVENUE",NA,0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",NA,NA,NA,4701388,"Sedan",NA,NA,NA,NA
2024-02-09,17:02:00,"STATEN ISLAND",10309,40.526752,-74.20118,"(40.526752, -74.20118)","FOSTER ROAD","AMBOY ROAD",NA,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4701949,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-01-18,08:20:00,NA,NA,NA,NA,NA,"ASTORIA BOULEVARD",NA,NA,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",NA,NA,NA,4701860,"Sedan","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-02-08,12:37:00,NA,NA,40.666435,-73.83478,"(40.666435, -73.83478)","BELT PARKWAY",NA,NA,1,0,0,0,0,0,1,0,"Unsafe Speed","Unsafe Speed","Unsafe Speed",NA,NA,4701785,"Sedan","Sedan","Sedan",NA,NA
2024-02-08,15:30:00,"BRONX",10457,40.85326,-73.90076,"(40.85326, -73.90076)",NA,NA,"2095      RYER AVENUE",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",NA,NA,NA,4701183,"Bus","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-02-09,12:11:00,"QUEENS",11419,NA,NA,NA,"142 STREET","VANWYCK EXPRESSWAY",NA,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",NA,NA,NA,4701749,"Tractor Truck Diesel","Sedan",NA,NA,NA
2024-02-07,09:50:00,NA,NA,40.57655,-73.966385,"(40.57655, -73.966385)","BRIGHTON BEACH AVENUE",NA,NA,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",NA,NA,NA,4700898,"Sedan","Bus",NA,NA,NA
2024-02-07,19:30:00,NA,NA,40.712833,-73.82741,"(40.712833, -73.82741)","QUEENS BOULEVARD","82 AVENUE",NA,1,0,0,0,0,0,1,0,"Passing or Lane Usage Improper","Unspecified",NA,NA,NA,4701026,"Station Wagon/Sport Utility Vehicle","Moped",NA,NA,NA
2024-02-08,16:40:00,NA,NA,40.68161,-73.77221,"(40.68161, -73.77221)","BAISLEY BOULEVARD","172 STREET",NA,1,0,0,0,0,0,1,0,"Driver Inexperience","Driver Inattention/Distraction",NA,NA,NA,4701219,"Pick-up Truck","Sedan",NA,NA,NA
2024-02-09,21:00:00,"STATEN ISLAND",10312,40.56029,-74.165924,"(40.56029, -74.165924)","ARTHUR KILL ROAD","RIDGEWOOD AVENUE",NA,0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",NA,NA,NA,4701444,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-02-08,16:46:00,"MANHATTAN",10032,40.836826,-73.93791,"(40.836826, -73.93791)",NA,NA,"446       WEST 164 STREET",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",NA,NA,NA,4701366,"Sedan","Sedan",NA,NA,NA
2024-02-04,17:30:00,"MANHATTAN",10010,40.73968,-73.98253,"(40.73968, -73.98253)",NA,NA,"325       3 AVENUE",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",NA,NA,NA,4701531,"Sedan",NA,NA,NA,NA
2024-01-31,00:00:00,NA,NA,40.68731,-73.94761,"(40.68731, -73.94761)","MARCY AVENUE",NA,NA,1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified",NA,NA,NA,4701699,"Sedan","Sedan",NA,NA,NA
2024-02-07,21:50:00,"BROOKLYN",11217,40.68578,-73.9819,"(40.68578, -73.9819)",NA,NA,"488       ATLANTIC AVENUE",1,0,0,0,1,0,0,0,"Passing Too Closely","Unspecified",NA,NA,NA,4701743,"Bike","Pick-up Truck",NA,NA,NA
2024-02-05,09:07:00,"QUEENS",11378,40.730873,-73.89235,"(40.730873, -73.89235)","72 STREET","53 ROAD",NA,1,0,1,0,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,NA,4701784,"Sedan",NA,NA,NA,NA
2024-02-08,12:00:00,"BROOKLYN",11229,40.59983,-73.94729,"(40.59983, -73.94729)",NA,NA,"2424      AVENUE U",1,0,0,0,1,0,0,0,"Unspecified","Unspecified",NA,NA,NA,4701167,"Station Wagon/Sport Utility Vehicle","Bike",NA,NA,NA
2024-02-07,09:24:00,NA,NA,40.886127,-73.81532,"(40.886127, -73.81532)","HUTCHINSON RIVER PARKWAY",NA,NA,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4701596,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-02-07,19:21:00,"BROOKLYN",11225,40.65723,-73.96025,"(40.65723, -73.96025)","FLATBUSH AVENUE","HAWTHORNE STREET",NA,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4700990,"Sedan","Sedan",NA,NA,NA
2024-02-05,00:00:00,NA,NA,40.860355,-73.86716,"(40.860355, -73.86716)","BOSTON ROAD","WHITE PLAINS ROAD",NA,0,0,0,0,0,0,0,0,"Obstruction/Debris",NA,NA,NA,NA,4701302,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-02-02,23:44:00,"QUEENS",11103,40.76267,-73.91242,"(40.76267, -73.91242)",NA,NA,"43-12     30 AVENUE",0,0,0,0,0,0,0,0,"Unsafe Speed","Unspecified","Unspecified",NA,NA,4701553,"Sedan","Moped","Station Wagon/Sport Utility Vehicle",NA,NA
2024-02-08,09:30:00,"MANHATTAN",10065,40.763733,-73.95816,"(40.763733, -73.95816)",NA,NA,"419       EAST 66 STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4701281,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-01-21,21:20:00,NA,NA,NA,NA,NA,"WILLIS AVE BRIDGE",NA,NA,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",NA,NA,NA,4701814,"Station Wagon/Sport Utility Vehicle","Sedan",NA,NA,NA
2024-02-09,13:04:00,"BROOKLYN",11218,40.633396,-73.97534,"(40.633396, -73.97534)",NA,NA,"306       AVENUE F",1,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4701535,"Station Wagon/Sport Utility Vehicle","E-Bike",NA,NA,NA
